rank,id,name,symbol,market_cap,price,binance_pair,coinbase_pair
1,1,Bitcoin,BTC,1812296632933.6545,90792.88557458304,BTCUSDT,BTC-USD
2,1027,Ethereum,ETH,387456418491.7048,3210.206346339628,ETHUSDT,ETH-USD
3,825,Tether USDt,USDT,186109073638.07788,1.0002022180699295,,USDT-USD
4,52,XRP,XRP,121529941530.04147,2.0143651149408446,XRPUSDT,XRP-USD
5,1839,BNB,BNB,120828977679.91512,877.2528837932182,BNBUSDT,BNB-USD
6,3408,USDC,USDC,78287680425.50424,0.9999551133920447,USDCUSDT,USDC-USD
7,5426,Solana,SOL,75757984440.6502,134.85386441020492,SOLUSDT,SOL-USD
8,8085,Lido Staked ETH,stETH,27922716465.283566,3200.210280567024,,
9,1958,TRON,TRX,26507680428.329933,0.2799669963896247,TRXUSDT,TRX-USD
10,18579,Wrapped TRON,WTRX,24505930231.80117,0.28031477328486926,,
